bloco;layout;col_b_raw;brand;category;descricao;rg;codigo_fabrica;status;tabela_bruta;multipl_desconto;custo;VENDA_DIRETA_MS;MS_DDOS;MS_DDOS_PRAZO;MS_ANDREI;SP_SP;SP_OUTROS;SP_RJ_MG_SUL;SP_MONTAGEM;OUTROS_ES;MG_RJ_SUL;DOURADOS_MS;flags
B1_MS;B;GUINCHO 3 PO;;GUINCHO 3 PO;GAT 1000 GUINCHO 3 PONTO C/ PISTÃO HIDRÁULICO;50483;407010001;SALDÃO;13850;0.4505;5940;;5990;6990;0;0;0;0;;;;;PRECO_MANUAL
B1_MS;B;PLATAFORMA;;PLATAFORMA;PLATAFORMA TRAZEIRA 500 KG 3 PONTO - SEM TAMPAS;52231;402010001;;4250;0.4505;1830;;3290;;0;0;0;0;;;;;PRECO_MANUAL
B1_MS;B;PLAININHA;;PLAININHA;PLAINA TRAZEIRA 3 PONTO - PTL 2300 - 70 CV;37804;106060057;;11240;;5220;;7569;;7308;;;;;;;;
B1_MS;B;PATROLINHA;;PATROLINHA;"LTA 3000 (PEQUENA) MECÂNICA COM PNEUS 600X16""";38805;106060001;;46895;0.4505;20110;;29990;32290;28900;26900;27500;27900;;;;;PRECO_MANUAL
B1_MS;B;PATROLA;;PATROLA;"LTA 5000 REVERSÃO MECANICA PNEUS 24"" - 100 CV";35687;106060006;SD AND;68861;0.4505;29530;;42990;46200;40700;38900;39900;40900;;;;;PRECO_MANUAL
B1_MS;B;PATROLA;;PATROLA;LTA 5000 REVERSÃO HIDRÁULICA C/ VALVULA REVERSORA MANUAL;47267;106060040;SD AND;77708;0.4505;33320;;48990;51990;45700;43900;44900;45900;;;;;PRECO_MANUAL
B1_MS;B;PATROLA;;PATROLA;LTA 5000 REVERSÃO HIDRÁULICA C/ VALVULA ELETRICA VEH;NT;106060048;;80545;;34540;;49990;;49046.8;45247.4;46283.6;47665.2;;;;;
B1_MS;B;PATROLA;;PATROLA;LTA 5000 REVERSÃO HIDRÁULICA - COMANDO TRIPLO - 3 VCR;52212;106060031;;76364;0.4505;32740;;47990;50990;46900;42900;43900;45500;;;;;PRECO_MANUAL
B1_MS;B;PATROLA;;PATROLA;"LTA 5000 ""S PESADA"" PNEUS 26"" - COMANDO TRIPLO - 120 CV";NT;106060044;;128552;0.4505;55120;;79924;;78270.4;72207.2;73860.8;76065.6;;;;;
B1_MS;B;PATROLA;;PATROLA;LTA 5.000 “S” PESADA PNEUS 26” COM VALVULA VEH - 120 CV;40756;106060049;;132750;0.4505;56920;;82534;90990;80826.4;74565.2;76272.8;78549.6;;;;;
B1_MS;B;CONCHINHA;;CONCHINHA;PAT-H 320 CONCHA TRAZEIRA 3 PONTO C/ PISTÃO;52103;107030006;LQ FN;;0.4505;;;6990;11450;0;0;0;0;;;;;SEM_CUSTO_TABELA|PRECO_MANUAL
B1_MS;B;CONCHA PD;;CONCHA PD;CONCHA PAH AVULSA 1200 MM C/ VÁLV PD PLAINA DIANT (*NA TRC*);51383;107020258;;15135;0.4505;6490;;10500;;9900;8900;9300;9700;;;;;PRECO_MANUAL
B1_MS;B;CONCHA PCA;;CONCHA PCA;CONCHA PAC AVULSA 1700 MM P/ CONJ PCA  C/ ENGATE PINO ANTIGO;52209;511046453;;9718;0.4505;4170;;8200;6650;0;0;0;0;;;;;PRECO_MANUAL
B1_MS;B;CONCHA PCA;;CONCHA PCA;CONCHA PAC AVULSA 1700 MM P/ CONJ PCA  C/ ENGATE RÁPIDO;53823;531044018;;7788;0.4505;3340;;7900;;0;0;0;0;;;;;PRECO_MANUAL
B1_MS;B;CONCHA PCA;;CONCHA PCA;CONCHA PAC AVULSA 1900 MM P/ CONJ PCA  C/ ENGATE PINO ANTIGO;52676;501048045;;12315;0.4505;5290;;8900;;0;0;0;0;;;;;PRECO_MANUAL
B1_MS;B;SAB BAG;;SAB BAG;"SUPORTE PARA BAG DO CONJ  PCA C/ ""ENGATE RÁPIDO + NOVO""";53248;521045475;;9689;0.4505;4155;;6990;;0;0;0;0;;;;;PRECO_MANUAL
B1_MS;B;SAB BAG;;SAB BAG;"SUPORTE PARA BAG DO CONJ  PCA C/ ""ENGATE PINO  + ANTIGO""";54061;531042232;;9860;;4229;;7190;;0;0;0;0;;;;;PRECO_MANUAL
B1_MS;B;ROLO FACA;;ROLO FACA;ROLO FACA CICLUS 3000  COM 1 ROLO DE FACAS;52918;102590004;;99168;0.4505;42520;;61654;;60378.399999999994;55276;56976.8;58677.6;;;;;
B1_MS;B;ROLO FACA;;ROLO FACA;ROLO FACA CICLUS 7000 COM 3 ROLOS DE FACAS;NT;102590001;;318432;;136520;;197954;;193858.4;177476;182936.8;188397.6;;;;;
B1_MS;B;ROLO FACA;;ROLO FACA;ROLO FACA CICLUS 9000  COM 3 ROLOS DE FACAS;52309;102590002;;358018;0.4505;153500;;221900;;217970;199900;205690;209900;;;;;
B1_MS;B;SCRAPER;;SCRAPER;"RASPADOR ""SCRAPER"" 3.0 C/ PNEUS NOVOS - 110 CV";35445;113010018;;76719;0.4505;32900;;47705;54600;46718;42770;44086;45402;;;;;
B1_MS;B;SUBSOLADOR;;SUBSOLADOR;SUBSOL 9 H STAC-L 450 COMPL - 180 cv;35990;120370221;;136354;0.4505;58460;;84767;88157.68000000001;83013.2;75998;78336.4;80674.8;;;;;
B1_MS;B;ARADO AIVECA;;ARADO AIVECA;AIVECAS FIXO AAH 4 HASTES C/ RODA GUIA - 105- 120 CV;52006;101100091;;28592;0.4505;12260;;17777;19990;17409.2;15938;16428.4;16918.8;;;;;
B1_MS;B;ARADO AIVECA;;ARADO AIVECA;ARADO AIVECAS AACRM 5 HASTES REVERS 180 CV;42099;120630003;LQ FN;;0.4505;;;47990;49909.6;0;0;0;0;;;;;SEM_CUSTO_TABELA
B1_MS;B;GRANELEIRA;;GRANELEIRA;"TCA 10.500  MULTIUSO COM 2 PNEUS 30""                     *LIQUIDAÇÃO FN*";51018;115010032;;176211;0.4505;79383.0555;;115105.430475;119709.647694;111136.2777;103197.97215;107167.124925;109548.61659;;;;;
B1_MS;B;ADUBADEIRA;;ADUBADEIRA;DCA 1200-LA LONGO ALCANÇE  - 3 PONTO AC CABO;41985;109090145;LQ FN;;0.4505;;;15990;;0;0;0;0;;;;;SEM_CUSTO_TABELA|PRECO_MANUAL
B1_MS;B;ADUBADEIRA;;ADUBADEIRA;ATRIUM 1.250 DUPLO LONGO ALCANÇE C/ ACIONAM HIDRÁULICO;53628;109120039;LQ FN;;;;;18990;;0;0;0;0;;;;;SEM_CUSTO_TABELA|PRECO_MANUAL
B1_MS;B;ADUBADEIRA;;ADUBADEIRA;ATRIUM 1.500 DUPLO LONGO ALCANÇE C/ ACIONAM HIDRÁULICO;52387;109120045;;36608;0.4505;15698;;22990;;22300;20700;21300;22300;;;;;PRECO_MANUAL
B1_MS;B;CALCAREADEIRA;;CALCAREADEIRA;"DCA2 2.500 CARDAN 1 EIXO PNEUS 750X16"" EST 500";51942;109090053;;55647;0.4505;23860;;34597;38990;33881.2;31256.6;31972.4;32926.8;;;;;
B1_MS;B;CALCAREADEIRA;;CALCAREADEIRA;DCA2  5.500 CARDAN PNEUS 11L15 EST 500 - 80 CV;35656;109090023;SD AND;71409;0.4505;30103;;43649.35;45395.324;41900;39434.93;40338.020000000004;41542.14;;;;;
